№;Название;Страна;Широта;Долгота;Адрес;Холдинг;Что производит;Статус
1;Баимский ГОК;РФ;68.0;166.0;Чукотский АО, г. Билибино, ул. Курчатова, 6;—;Медь;Никогда
2;Тырныаузский ГОК;РФ;43.3939;42.9172;Кабардино-Балкарская Респ., г. Тырныауз, Эльбрусский пр-кт, д. 19;—;Вольфрам;Никогда
3;Сусуманзолото;РФ;62.7833;148.1533;Магаданская обл., г. Магадан, пр-кт Карла Маркса, д. 19/17;—;Золото;Никогда
4;Михайловский ГОК;РФ;52.3387;35.3629;Курская обл., г. Железногорск, ул. Ленина, д. 21;Металлинвест ;Железная руда;Никогда
5;Лебединский ГОК;РФ;51.2616;37.6546;Белгородская обл., г. Губкин, промзона, промплощадка ЛГОКа;ЛГОК ;Железная руда ;Никогда
6;Стойленский ГОК;РФ;51.2976;37.8415;Белгородская обл., г. Старый Оскол, площадка Фабричная, пр-д-4;Стойленский;Железная руда ;Никогда
7;Ковдогский ГОК;РФ;67.5667;30.4833;Мурманская обл., г. Ковдор, ул. Сухачева, д. 5;—;Железная руда ;Никогда
8;Качканарский ГОК;РФ;58.7048;59.4824;Свердловская обл., г. Качканар, ул. Свердлова, д. 2;Евраз ;Железная руда ;Никогда
9;Костомукшский ГОК;РФ;64.5833;30.июн;Республика Карелия, г. Костомукша;Северсталь ;Железная руда ;Никогда
10;Золото Якутии;РФ;62.0;127.0;Республика Саха (Якутия);—;Золото ;Никогда
11;Высокогорский ГОК;РФ;57.9052;59.9645;Свердловская обл., г. Нижний Тагил, ул. Фрунзе, д. 17;НПРО «Урал» ;Железная руда, концентрат, агломерат, известняк, дунит, щебень ;Никогда
12;Оленегорский ГОК;РФ;68.1395;33.2727;Мурманская обл., г. Оленегорск, пр-кт Ленинградский, д. 2;—;Железная руда ;Никогда
13;Быстринский ГОК;РФ;52.0;117.0;Забайкальский край, г. Чита, ул. Шилова, д. 99Г;—;Магнетитовый, медный, золотосодержащий концентраты ;Никогда
14;Коршуновский ГОК;РФ;56.5844;104.0878;Иркутская обл., г. Железногорск-Илимский, ул. Иващенко, д. 9А/1;—;Железная руда ;Никогда
15;Туганский ГОК;РФ;56.4;85.2;Томская обл., Томский р-н, с. Октябрьское, ул. Заводская, д. 100;—;Ильменитовый, лейкоксеновый, цирконовый концентраты, кварцевые пески ;Никогда
16;Гайский ГОК;РФ;51.4667;58.45;Оренбургская обл., г. Гай, ул. Промышленная, д. 1;—;Медный, цинковый концентраты ;Никогда
17;Сорский ГОК;РФ;54.0;90.0;Республика Хакасия, г. Сорск, тер. Промплощадка;—;Медный и молибденовый концентраты ;Никогда
18;Янгелевский ГОК;РФ;56.8;104.1;Иркутская обл., г. Иркутск, ул. Ангарская, стр. 16;—;Кварцевый песок ;Никогда
19;Ловозерский ГОК;РФ;67.9372;34.5647;Мурманская обл., Ловозерский р-н, пгт Ревда, ул. Комсомольская, д. 23;—;Натрий, калий, рубидий, цезий и их соединения ;Никогда
20;Уральский асбестовый ГОК;РФ;57.0;61.45;Свердловская обл., г. Асбест, ул. Уральская, д. 66;—;Хризотил ;Никогда
21;Айхальский ГОК;РФ;65.9336;111.4833;Республика Саха (Якутия), Мирнинский р-н, п. Айхал, ул. Корнилова, д. 3;—;Алмазы ;Никогда
22;Балашейский ГОК;РФ;53.2813;48.0897;Самарская обл., Сызранский р-н, пгт Балашейка;—;Кварцевые пески, стекольные пески ;Никогда
23;Гаринский ГОК;РФ;52.5810;129.1267;Амурская обл., Мазановский р-н;—;Железная руда ;Никогда
24;Бурибаевский ГОК;РФ;51.9667;58.15;Республика Башкортостан, Хайбуллинский р-н, с. Бурибай, ул. Горького, д. 49;—;Медь ;Никогда
25;Вишневогорский ГОК;РФ;55.9875;60.6486;Челябинская обл., Каслинский р-н, пгт Вишневогорск, ул. Ленина, д. 61;—;Ниобиевые, циркониевые, титановые, полешпатовые концентраты ;Никогда
26;Горевский ГОК;РФ;58.1167;93.1167;Красноярский край, Мотыгинский р-н, п. Новоангарск, ул. Набережная, д. 5;—;Свинцовый и цинковый концентраты ;Никогда
27;Жирекенский ГОК;РФ;52.85;117.35;Забайкальский край, Чернышевский р-н, пгт Жирекен;—;Концентрат меди, ферромолибден ;Никогда
28;Киембаевский ГОК;РФ;50.8836;59.9321;Оренбургская обл., г. Ясный, ул. Ленина, д. 7;—;Хризотил, щебень ;Никогда
29;Кимкано-Сутарский ГОК;РФ;48.7833;132.9333;Еврейская АО, г. Биробиджан, пр-кт 60-летия СССР, д. 22Б;—;Железорудный концентрат ;Никогда
30;Кичигинский ГОК;РФ;54.5004;61.2654;Челябинская обл., Увельский р-н;—;Формовочный песок, сухие строительные смеси ;Никогда
31;Миллеровский ГОК;РФ;48.9297;40.4147;Ростовская обл., г. Миллерово, ул. 3 Интернационала, д. 105;—;Кварцевые пески, глинопорошок, шамот ;Никогда
32;Кыштымский ГОК;РФ;55.7060;60.5559;Челябинская обл., г. Кыштым;—;Кварцевые концентраты ;Никогда
33;Томинский ГОК;РФ;54.8;61.2;Челябинская обл., с. Томинское;—;Медный концентрат ;Никогда
34;Михеевский ГОК;РФ;54.2;61.2;Челябинская обл., п. Красноармейский;—;Концентрат меди ;Никогда
35;Мирнинско-Нюрбинский ГОК;РФ;62.5333;113.9667;Республика Саха (Якутия), г. Мирный;—;Алмазы ;Никогда
36;Новоангарский ГОК;РФ;58.1167;93.1167;Красноярский край, п. Новоангарск;—;Свинцовый и цинковый концентраты ;Никогда
37;Новоорловский ГОК;РФ;51.0333;116.3;Забайкальский край, пгт Новоорловск;—;Вольфрам ;Никогда
38;Олёкминский ГОК;РФ;56.0;122.0;Республика Саха (Якутия), с. Олекма;—;Ильменитовый, титаномагнетитовый концентраты ;Никогда
39;Солнечный ГОК;РФ;50.7167;136.6333;Хабаровский край, п. Солнечный;—;Концентрат олова ;Никогда
40;Удачнинский ГОК;РФ;66.4;112.3167;Республика Саха (Якутия), г. Мирный;—;Алмазы ;Никогда
41;Урупский ГОК;РФ;44.2;41.1;Карачаево-Черкесская Респ., п. Медногорский;—;Медный концентрат ;Никогда
42;Учалинский ГОК;РФ;54.3167;59.3833;Республика Башкортостан, г. Учалы;—;Медный, цинковый концентраты ;Никогда
43;ГОК Олений ручей;РФ;67.6;33.6;Мурманская обл., г. Кировск;Группа Акрон ;Апатитовый концентрат ;Никогда
44;Байкало-Амурская горнорудная корпорация;РФ;55.0;124.0;Амурская обл., Тындинский р-н;—;Титаномагнетитовые руды ;Никогда
45;Комбинат «Пионер»;РФ;53.7;126.0;Амурская обл., с. Тыгда;—;Золото ;Никогда
46;Дальнегорский ГОК;РФ;44.55;135.5667;Приморский край, г. Дальнегорск;—;Боросодержащая продукция ;Никогда
47;Березовский рудник;РФ;56.9;60.8;Свердловская обл., г. Березовский;—;Золото-серебросодержащие сульфидные руды ;Никогда
48;Норильский комбинат;РФ;69.3333;88.2167;Красноярский край, г. Норильск;—;Медно-никелевые руды ;Никогда
49;АО «Прииск Соловьёвский»;РФ;51.0;126.0;Амурская обл., с. Соловьевск;—;Золото ;Никогда
50;«Эльконский ГМК»;РФ;56.8;124.3;Республика Саха (Якутия), п. Каменномостский;—;Минеральный порошок ;Никогда
51;ЕвроХим-ВолгаКалий;РФ;47.6333;43.1333;Волгоградская обл., г. Котельниково;Еврохим ;Калийная руда ;Никогда
52;Ковдорский ГОК;РФ;67.5667;30.4833;Мурманская обл., г. Ковдор;—;Магнетит-апатит-бадделеитовые руды ;Никогда
53;Пуровский ЗПК;РФ;64.9167;77.7667;Ямало-Ненецкий АО, г. Тарко-Сале;НОВАТЭК ;Природный газ и газовый конденсат ;Никогда
54;АО «Олкон»;РФ;68.1395;33.2727;Мурманская обл., г. Оленегорск;—;Железорудное сырье ;Никогда
55;Яковлевский ГОК;РФ;51.0167;37.4333;Белгородская обл., п. Яковлево;Северсталь ;Железная руда ;Никогда
56;Бурятзолото;РФ;51.8333;107.6;Республика Бурятия, г. Улан-Удэ;—;Золото ;Никогда
57;Мангазея Золото;РФ;52.0;117.0;Забайкальский край, г. Чита;—;Золото ;Никогда
58;Янглевский ГОК;РФ;56.8;104.1;Иркутская обл., р.п. Янгель;—;Кварцевый песок ;Никогда
59;Карельский окатыш;РФ;64.5833;30.июн;Республика Карелия, г. Костомукша;—;Железорудное сырье ;Никогда
60;Евразруда;РФ;52.7833;87.8667;Кемеровская обл., г. Таштагол;Евраз Груп ;Железная руда ;Никогда
61;ООО «ГРК «Быстринское»;РФ;52.0;117.0;Забайкальский край, г. Чита;—;Медный, магнетитовый, золотосодержащий концентраты ;Никогда
62;Жипхегенский щебеночный завод (ЖЩЗ);РФ;51.2;112.0;Забайкальский край, п. Жипхеген;—;Гранитный щебень ;Никогда
63;Раменский ГОК (РГОК);РФ;55.55;38.2;Московская обл., с. Еганово;—;Кварциты, кварцевая мука, песок ;Никогда
64;Quarzwerke Russia;РФ;54.3167;48.4;г. Ульяновск;—;Кварцевый песок ;Никогда
65;ГОК Наседкино;РФ;54.0;88.0;Кемеровская обл., с. Широкая;—;Золотоносная руда, золото ;Никогда
66;Торговый дом Бест Гранит;РФ;56.8;60.6;г. Екатеринбург;—;Щебень ;Никогда
67;Северский гранитный карьер;РФ;56.8;60.6;г. Екатеринбург;—;Щебень ;Никогда
68;АЛРОСА;РФ;62.5333;113.9667;Республика Саха (Якутия), г. Мирный;—;Алмазы ;Никогда
69;Апатит;РФ;55.75;37.6;г. Москва;—;Руда ;Никогда
70;Студеновская акционерная горнодобывающая компания (Стагдок);РФ;52.8;39.0;Липецкая обл., с. Ильино;—;Флюсовые известняки ;Никогда
71;Комбинат КМАруда;РФ;51.2833;37.55;Белгородская обл., г. Губкин;—;Коксующийся уголь, железная руда, чугун ;Никогда
72;Кварц;РФ;54.3167;48.4;Ульяновская обл., рп Силикатный;—;Кварц ;Никогда
73;Полярный кварц;РФ;62.1333;65.3833;ХМАО-Югра, г. Нягань;—;Кварц ;Никогда
74;Сибирцевский щебеночный завод;РФ;44.2;132.3;Приморский край, п. Сибирцево;—;Щебень ;Никогда
75;Балахнинский горно-обогатительный комбинат (Балкум);РФ;56.45;43.6;Нижегородская обл., Балахнинский р-н, рп Гидроторф;—;Формовочный, стекольный песок ;Никогда
