№;Название;Страна;Широта;Долгота;Адрес;Что возят через них;Статус
1;Красноярский порт;РФ;56.0094;92.9327;660059, г. Красноярск, ул. Коммунальная, д. 2;Речные грузы (строительные материалы, лес, зерно, уголь);Никогда
2;Самарский порт;РФ;53.1746;50.0698;443099, г. Самара, ул. Стрелка реки Самары, д. 3;Речные грузы (нефтепродукты, стройматериалы, зерно);Никогда
3;Волгоградский порт;РФ;48.7003;44.5170;400131, г. Волгоград, наб. 62-й Армии, д. 6;Речные грузы (нефть, зерно, стройматериалы);Никогда
4;Ярославский порт;РФ;57.5984;39.9150;150022, г. Ярославль, ул. 2-я Портовая, д. 1;Речные грузы (лес, стройматериалы, нефтепродукты);Никогда
5;Осетровский порт;РФ;56.7886;105.7684;666788, Иркутская обл., г. Усть-Кут, ул. Луговая, стр. 21;Речные грузы (лес, уголь, стройматериалы);Никогда
6;Южный порт;РФ;55.6985;37.6916;г. Москва, Южнопортовая ул., вл. 3–15 / 2-й Южнопортовый пр-д, д. 8;Речные грузы (стройматериалы, зерно);Никогда
7;Омский порт;РФ;54.9344;73.3652;644121, г. Омск, ул. 9-я Ленинская, д. 55;Речные грузы (нефтепродукты, стройматериалы, зерно);Никогда
8;Салехардский порт;РФ;66.6455;66.5415;629007, г. Салехард, ул. Ленина, д. 7;Речные грузы (стройматериалы, уголь, нефтепродукты);Никогда
9;Чебоксарский порт;РФ;56.1491;47.2618;428032, г. Чебоксары, пл. Речников, д. 5;Речные грузы (стройматериалы, зерно);Никогда
10;Архангельский порт;РФ;64.5304;40.5364;163026, г. Архангельск, ул. Космонавта Комарова, д. 14, стр. 2;Лес, уголь, нефтепродукты, контейнеры;Никогда
11;Тобольский порт;РФ;58.2888;68.2231;626109, г. Тобольск, тер. Северный промышленный район-квартал 1, № 1, к. 1;Речные грузы (нефтепродукты, стройматериалы);Никогда
12;Уренгойский порт;РФ;66.0913;76.6833;629320, г. Новый Уренгой, жилрайон Коротчаево, ул. Портовая, д. 1;Речные грузы (стройматериалы, трубы);Никогда
13;Сергинский порт;РФ;62.5665;—;628126, ХМАО-Югра, Октябрьский р-н, пгт Приобье, ул. Портовая, д. 12;Речные грузы (нефть, стройматериалы);Никогда
14;Тюменский порт;РФ;57.15;65.5;625002, г. Тюмень, ул. Пароходская, д. 31, пом. 712;Речные грузы (нефтепродукты, стройматериалы);Никогда
15;Новороссийский порт;РФ;44.7244;37.7763;353907, г. Новороссийск, ул. Мира, д. 2;Нефть, зерно, уголь, контейнеры, металл, руда, лес;Никогда
16;Порт Усть-Луга;РФ;59.6609;28.2897;188480, Ленинградская обл., г. Кингисепп, пр. Карла Маркса, д. 25/2;Уголь, удобрения, руда, нефть, контейнеры;Никогда
17;Приморский порт;РФ;~60.36;~28.72;188910, Ленинградская обл., Выборгский р-н, г. Приморск, Портовый проезд, д. 10;Нефть и нефтепродукты;Никогда
