№;Название;Страна;Широта;Долгота;Адрес;Производство;Сырье;Экспорт;Импорт;Статус
1;ВСМПО-Ависма;РФ;59.456779;56.834477;618421, Пермский край, Березники, Загородная ул., 29;Слитки и прокат из титановых сплавов, алюминиевые профили, полуфабрикаты из легированных сталей и никелевых сплавов;Титановая губка, легирующие добавки;70% продукции – в 50 стран (Airbus, Boeing);—;Никогда
2;Самарский завод КВОиТ;РФ;53.1746;50.0698;443022, г. Самара, проезд Мальцева, 1;Резервуары, опоры трубопроводов, детали трубопроводов, котельные модули;Металлопрокат (лист, трубы);Продукция для ТЭС и АЭС;—;Никогда
3;Нижегородский литейный завод;РФ;56.2967;43.9361;603004, г. Нижний Новгород, проспект Ленина, 95;Чугунные блоки и головки цилиндров;Чугун, лом черных металлов;Продукция для автопрома (ГАЗ);Замещает импортные автокомпоненты;Никогда
4;Амурсталь;РФ;50.563131;136.976362;681005, Хабаровский край, г. Комсомольск-на-Амуре, ул. Вагонная, 30;Сортовой стальной прокат (арматура, уголок, катанка) из электростали;Лом черных металлов;60% – в страны Азии (Китай, Филиппины, Вьетнам);—;Никогда
5;Ижевский Металлургический Завод;РФ;54.7434;55.9676;450024, Республика Башкортостан, г. Уфа, ул. Центральная, 57;Прессовые и молотовые поковки, литье, штамповки, металлопрокат;Лом черных металлов, легирующие добавки;В США, Европу, Центральную Азию;—;Никогда
6;МетМашУфалей;РФ;56.0484;60.2318;456800, Челябинская область, г. Верхний Уфалей, ул. Ленина, 129;Металлургические полуфабрикаты, запчасти для металлургии;Исходный металл (прокат);В Турцию, Францию, Италию, Великобританию, Германию;—;Никогда
7;СтальСтройТехнологии;РФ;54.6199;39.7442;390010, г. Рязань, ул. Октябрьская, 61;Металлоконструкции;Металлопрокат;Участие в международных проектах (АЭС в Египте);—;Никогда
8;Коломенский завод порошковой металлургии (КЗПМ);РФ;55.1122;38.7717;140408, Московская область, г. Коломна, ул. Партизан, 42;Порошковые изделия (детали двигателей, втулки);Металлические порошки;Не является крупным экспортером;Импорт порошков (напр., из Швеции);Никогда
9;Русполимет;РФ;55.420864;42.534241;607018, Нижегородская область, г. Кулебаки, ул. Восстания, 1;Кольцевые заготовки и диски;Зарубежное сырье;В США, Италию, Южную Корею, Канаду, Китай;—;Никогда
10;Омутнинский металлургический завод (ОМЗ);РФ;58.6675;52.1870;612740, Кировская область, г. Омутнинск, ул. Коковихина, 2;Стальные фасонные профили высокой точности;Сталь;Второе место в Европе по качеству. Потенциальный поставщик для КАЗ;"Замещает ""серый импорт""";Никогда
11;Ашинский металлургический завод;РФ;54.994840;57.277548;456010, Челябинская область, г. Аша, ул. Мира, 9;Черный металлопрокат (полосы, листы, трубы);Сталь;В страны СНГ и Азии;—;Никогда
12;Челябинский электрометаллургический комбинат (ЧЭМК);РФ;55.1935;61.4329;454081, г. Челябинск, ул. Героев Танкограда, 80-п;Ферросплавы (феррохром), чугун, стальной прокат;Хромовая руда, марганцевая руда;Крупнейший экспортер феррохрома;—;Никогда
13;НЛМК-Урал;РФ;56.849666;59.908414;623280, Свердловская область, г. Ревда, ул. Карла Либкнехта, 3;Непрерывнолитая квадратная заготовка, арматура, катанка;Лом черных металлов;Входит в Группу НЛМК – экспорт в 70+ стран;—;Никогда
