№;Название;Страна;Широта;Долгота;Адрес;Компания;Тип угля;Кто покупает;Статус
1;Шахта Баренцбург;РФ;78.0667;14.2167;Архипелаг Шпицберген, пос. Баренцбург;ФГУП «Арктикуголь»;каменный;Отгрузка морским транспортом круглый год;Никогда
2;Шахта Восточная Денисовская;РФ;56.0;124.0 (прибл.);Республика Саха (Якутия), г. Нерюнгри;АО «ГОК «Денисовский»;каменный;Внутренний рынок, экспорт в АТР;Никогда
3;Шахта им. В.И. Ленина;РФ;53.7006;88.0496 (прибл.);Кемеровская обл., г. Междуреченск;ПАО «Южный Кузбасс»;каменный;Внутренний рынок (в составе «Мечел-Майнинг»);Никогда
4;Шахта Инаглинская;РФ;56.9860;124.7740 (прибл.);Республика Саха (Якутия), г. Нерюнгри;АО «ГОК «Инаглинский»;каменный;Внутренний рынок, экспорт в АТР (в составе УК «Колмар»);Никогда
5;Шахта Сибиргинская;РФ;53.6673;87.8663 (прибл.);Кемеровская обл., г. Мыски;ПАО «Южный Кузбасс»;каменный;Внутренний рынок (в составе «Мечел-Майнинг»);Никогда
6;Шахта Денисовская;РФ;56.7689;124.8474;Республика Саха (Якутия), г. Нерюнгри, п. Серебряный Бор;АО «ГОК «Денисовский»;каменный;Внутренний рынок, экспорт в АТР;Никогда
7;Шахта Байкаимская;РФ;54.6167;86.3715;Кемеровская обл., Беловский р-н, мкр. Байкаимский;АО «УК «Кузбассразрезуголь»;каменный;Внутренний рынок;Никогда
8;Шахта Ольжерасская-Новая;РФ;53.8381;88.1296 (прибл.);Кемеровская обл., г. Междуреченск;ПАО «Южный Кузбасс»;каменный;Внутренний рынок (в составе «Мечел-Майнинг»);Никогда
9;Шахта Шерловская-Наклонная;РФ;48.0;40.0 (прибл.);Ростовская обл., Красносулинский р-н;АО «Донуголь»;антрацит;Внутренний рынок (металлургические заводы Юга России);Никогда
10;Шахта им. С. Д. Тихова;РФ;54.0;86.2 (прибл.);Кемеровская обл., г. Ленинск-Кузнецкий;ООО «ММК-УГОЛЬ»;Коксующийся, марка 2Ж;ПАО «ММК»;Никогда
11;Шахта Юбилейная;РФ;54.0;87.0 (прибл.);Кемеровская обл., г. Новокузнецк;ООО «Шахта «Юбилейная»;каменный;Внутренний рынок;Никогда
12;Шахта Костромовская;РФ;54.5840;86.0329 (прибл.);Кемеровская обл., г. Ленинск-Кузнецкий;ООО «ММК-УГОЛЬ»;каменный;ПАО «ММК»;Никогда
13;Шахта Спиридоновская;РФ;54.4669;52.0985 (прибл.);Кемеровская обл., г. Киселевск;ООО «Шахта Спиридоновская»;каменный;Внутренний рынок (статус: на грани банкротства);Никогда
14;Шахта Заполярная;РФ;67.4847;63.7662;Республика Коми, г. Воркута, пгт Заполярный;АО «ВоркутаУголь»;каменный;Внутренний рынок (Северсталь);Никогда
