№;Компания;Страна;Широта;Долгота;Адрес;Тип отхода;Статус
1;Магнитогорский металлургический комбинат (ММК);РФ;53.3786;59.0356;455000, г. Магнитогорск, ул. Кирова, 93;Доменные шлаки;Никогда
2;Челябинский металлургический комбинат (ЧМК);РФ;55.1039;61.4086;454047, г. Челябинск, ул. 2-я Павелецкая, 14;Доменные шлаки;Никогда
3;Новолипецкий металлургический комбинат (НЛМК);РФ;52.6162;39.6005;398040, г. Липецк, пл. Металлургов, 2;Доменные шлаки;Никогда
4;Череповецкий металлургический комбинат («Северсталь»);РФ;59.1440;37.8630;162600, Вологодская обл., г. Череповец, ул. Мира, 30;Доменные шлаки;Никогда
5;Нижнетагильский металлургический комбинат (НТМК);РФ;57.9052;59.9645;622025, Свердловская обл., г. Нижний Тагил, ул. Металлургов, 1;Доменные шлаки;Никогда
6;Новокузнецкий металлургический комбинат;РФ;53.7496;87.1094;Кемеровская обл., г. Новокузнецк, ш. Космическое, 16;Доменные шлаки;Никогда
7;АО «Кировградский медеплавильный комбинат»;РФ;57.4333;60.0667;624140, Свердловская обл., г. Кировград, ул. Энгельса, 19;Медные шлаки;Никогда
8;Среднеуральский медеплавильный завод;РФ;56.8011;59.9084;623270, Свердловская обл., г. Ревда, ул. Среднеуральская, 1;Медные шлаки;Никогда
9;Норильский горно-металлургический комбинат;РФ;69.3333;88.2167;663300, Красноярский край, г. Норильск, пл. Гвардейская, 2;Никелевые шлаки;Никогда
10;Комбинат «Североникель»;РФ;67.9333;32.8167;Мурманская обл., г. Мончегорск;Никелевые шлаки;Никогда
11;Каменск-Уральский металлургический завод (КУЗ);РФ;56.3539;61.9861;623405, Свердловская обл., г. Каменск-Уральский, ул. Заводская, 5;Алюминиевые шлаки («красные шламы»);Никогда
12;Разрез «Киселевский», шахта №12, АО «СУЭК-Кузбасс»;РФ;54.0053;86.6710;652705, Кемеровская обл., г. Киселевск, ул. Чумова, 2а;Породный отвал;Никогда
13;ООО «Шахта «Аютинская»;РФ;47.7500;40.1152;Ростовская обл., г. Шахты, пос. Аютинский, ул. Кошевого, 16;Породный отвал;Никогда
14;АО «Воркутауголь»;РФ;67.5000;64.0000;169908, Республика Коми, г. Воркута, ул. Ленина;Породный отвал;Никогда
15;ПАО «Иркутскэнерго»;РФ;52.2833;104.2833;664000, г. Иркутск, ул. Сухэ-Батора, 3;Золо-шлаковый отвал;Никогда
16;ООО «Свердловская ГРЭС»;РФ;56.8000;60.0000;Свердловская область;Золо-шлаковый отвал;Никогда
17;Новосибирская ТЭЦ-5, АО «СИБЭКО»;РФ;55.0000;82.9500;630099, г. Новосибирск, Красный пр-кт, 25;Золо-шлаковый отвал;Никогда
18;Воскресенский производственный комплекс («Воскресенские минеральные удобрения»);РФ;55.3241;38.7483;Московская обл., г. Воскресенск;Фосфогипсовый отвал;Никогда
19;ПО «Фосфорит»;РФ;59.4500;29.4833;Ленинградская обл., г. Кингисепп;Фосфогипсовый отвал;Никогда
20;ОАО «Белорусский металлургический завод»;Беларусь;52.8921;30.0433;247210, Гомельская обл., г. Жлобин, ул. Промышленная, 37;Сталеплавильные и доменные шлаки;Никогда
21;ОАО «Могилёвский металлургический завод»;Беларусь;53.8953;30.3255;212030, г. Могилёв, ул. Курако, 28;Литейные шлаки;Никогда
22;РУП «Гомельский литейный завод «Центролит»;Беларусь;52.4430;30.9841;246008, г. Гомель, ул. Центролит, 1;Литейные шлаки;Никогда
